,NoSpeciesLN,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,-0.1049816687926792,0.08530382505403747,-0.16365715089510344,-0.6405949338461159,0.9610217691401295,-0.2375699817150722,-0.5094167860752975,-0.31005282647767785,-0.17372318035914597,-0.462941515412529,0.5489716435473969,-0.08654246795057557
Split2,-0.15246994880667378,-0.25686261338322414,-0.12457333108926148,-0.2588576994484893,0.6800782669028473,-0.39677539438487475,-0.5465690685897971,-0.3379907701862534,-0.2277396195902166,-0.2507460031002097,0.6877615188739402,-0.026752298565453324
Split3,-0.2263511734363388,-0.23065354715776823,0.16988725338084332,-0.1985220252493409,1.056185733462318,-0.6985048670006981,-0.6028265291210312,-0.4573231937223445,-0.3736112376173625,-0.6079134805864805,0.753851581083426,-0.11238301837730942
Split4,-0.219002551327662,-0.3490585586647082,0.08635184898458322,-0.8328950656486237,0.9477849346652301,-0.5278611741794735,-0.3544988160965022,-0.6269791354547769,0.3107166691432886,-0.6714632783882455,0.6766605926291884,0.07368062239337515
Split5,-0.295023773117918,-0.32634223203981716,-0.1401110167294187,-0.4361259483700792,0.8041719113629529,-0.5361458032231597,-0.7859986991168458,-0.13260000145827924,-0.1235990094792544,-0.220132552866127,0.6417233577282476,-0.01584557484915872
