,NoSpeciesLN,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,12.320884998319459,6.38916914822399,7.259167531237345,6.568623266130616,4.982012884745178,11.110988765004,8.990499842183928,6.668618171481776,3.8227535657455625,4.927503585871372,15.781205294680554,11.17857294637622
Split2,12.000673605882307,4.062137124050549,8.217485859100364,8.358665005397986,4.943955072189748,10.989970885628479,7.654324443012821,7.913278979080468,4.172467640272177,4.251915518086484,17.85563003470078,9.579495832597836
Split3,11.904391031167599,6.189443495653503,5.864281096223457,6.90788724704952,4.588712003064873,10.058278175656238,8.841956763821136,7.739367460702518,3.9567147956656443,4.319046876141172,18.519895814599913,11.110025240254416
Split4,12.950716224171382,3.892387343587512,7.0956140089056445,7.505998943636384,5.569955732940801,11.398368876640257,8.987510761254581,8.015879985173479,5.412572180754355,3.788521810782926,10.643034881501931,14.739439250650738
Split5,14.905486351813535,4.955290787903195,6.43614693089662,8.286562092591812,4.527073892880927,12.568516291380268,9.20561514665091,7.610387787745163,3.814391343169511,5.663183769252422,14.887654416010138,7.139691189705514
