,NoSpeciesLN,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,7.16171356102259,7.6710993723033996,14.232188263102662,6.942445789185368,6.1860893369768535,6.635321306863556,13.206590107475213,7.593829202151837,6.460334173383604,7.24789064377707,13.641802551852546,3.0206956919054093
Split2,8.151830303794632,5.470879153408726,11.955293104683108,8.086789994135188,5.963926300975403,7.290704397723014,10.886711956443454,8.389207477106947,5.88915934017718,7.6741221525916075,14.310106074542352,5.931269744418435
Split3,7.408785961133101,9.895636983903653,7.663799351371326,6.525561090445184,5.956232098874974,8.456537753394516,8.923932821683113,6.856719712614156,5.2415423635903755,8.763447978533755,14.355793408711161,9.952010475744682
Split4,6.153719315284021,7.18522789419193,9.732069384031611,8.239821197147055,8.945648687974849,8.954850564407565,11.943721135284637,5.840956683072164,6.711482431764749,9.482109043740797,7.7925698557538405,9.017823807346838
Split5,10.366232821361239,6.524522582832076,9.990462178232217,4.964769752553039,6.929775794493516,9.356803131941286,12.221981029539974,8.62397689560668,5.278756201969693,10.402014661141703,11.361948656421408,3.9787562939072196
