,NoSpeciesLN,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,13.784870797525704,11.819816146191197,12.219458351715737,6.907282752430399,7.586416376001307,6.970911232791253,5.434402851840856,8.251139419463465,5.256383111071396,7.534652606994975,6.175378488765216,8.059287865208436
Split2,13.485543433935685,10.889779730901655,9.980899811346461,6.132493208569881,7.2238995662143095,7.718966031772842,5.737058442047556,8.361944672733754,5.231039464083359,8.097453470238761,7.730850934437609,9.41007123371809
Split3,13.792388862876852,13.101222654034691,11.255617205447004,7.030039827168109,7.39197449003006,7.950740480720877,5.3107144600741005,9.069623407958794,3.914114677302761,8.328942073276492,8.92611667032236,3.928505190787943
Split4,12.190141016100542,11.943538708514744,13.680196724652488,6.861406374745092,7.956654472133329,9.048230235747036,4.962422572790486,7.63670964210237,5.6405011128539195,6.326357047584462,6.746364074583139,7.007478018192595
Split5,17.14103081213417,13.138515092344985,10.30848160461531,6.281212279664872,10.958176916922996,7.596640497166263,5.624916068890998,8.460439377119071,5.874353731899769,6.944165428818665,4.302666775712025,3.3694014147109255
