,NoSpeciesLN,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,26.17969596994147,4.671522171751598,5.261915009169233,9.439895484904552,6.916253339551886,6.448429844015268,7.68827881591877,3.684308705496992,10.540131705907685,4.544196559674898,11.295506388878179,3.329866004789539
Split2,24.95870797728716,5.136167166898289,5.85014850218206,10.191619639253178,6.547435029341877,3.7015783772123547,6.90358258374033,3.849961175684148,10.66512438256889,4.2714475985119265,13.226403154737094,4.697824412582582
Split3,25.148088892599226,4.563013271731581,4.982932164329316,10.17311277812735,6.434264597195446,7.230817905927902,7.8479034907632315,4.596296270881161,8.81525558760925,3.296910805665732,13.327887712034439,3.5835165231352692
Split4,20.433998633891548,5.422986926932154,6.88972102439566,10.464921702760634,7.692725372731583,5.923335686571535,9.132913256350143,4.161584011335985,9.38661548151885,4.900956783686644,12.518333061134415,3.071908058690712
Split5,21.647269818941293,6.487955386559898,8.194321405419284,7.970335878456636,6.772189121613587,5.241672307745894,5.685649265594513,5.938421913424714,11.735159091437023,4.073125534442137,13.531765536716591,2.722134739648503
