,NoSpeciesLN,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,-0.31836787890675694,-0.6315870371942754,-0.17896282512511807,-0.4536756466477389,0.20534816648418475,0.20623931943342555,-0.4788112181162078,0.5173064627594361,-0.019908209838109064,0.3169737504083654,0.469187191223757,0.09218234121898906
Split2,-0.3234981893308644,-0.300353301970838,-0.16737532463812305,-0.4563693728928177,0.728255835794552,0.33860609780258655,-0.5686177607808356,0.4395132096609646,-0.42248647568699216,0.010766251228928294,0.6373134193992844,0.015220182892321715
Split3,-0.47287349906905884,-0.6761333614670385,-0.0579103352661186,-0.4193063098756908,0.38004808167095744,0.4395700296347003,-0.3675756369882295,0.35262947272244255,-0.2677021199369744,0.19601130288612612,0.61127248410912,0.07565076483843049
Split4,-0.2563189663584534,-0.5900630304895758,-0.16636307329691252,-0.9241020542452819,0.802835511300096,0.22065443883923813,-0.4526233172434128,0.49271454062793824,-0.17288596902103107,0.3137351729726332,0.4203001891300074,0.045238432691944594
Split5,-0.3931900917160374,-0.4158082848630804,-0.11907269432198683,-0.4023487529475289,0.5713005870843662,0.43725170541640596,-0.5845734028695261,0.5073354407097198,-0.4670275140248135,0.321934192708731,0.4493493410698057,-0.005537008341821417
