,NoSpeciesLN,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,7.823187172781347,9.780071928453127,7.482412842975618,7.0012073046379495,8.69173422542334,7.944934164020175,7.188593991928264,6.0413051134687965,5.625656009898266,4.321095369602362,21.863563023155496,6.236238853655241
Split2,4.7637442765981515,6.821281146396955,8.447333837537146,6.909050272421664,8.614483638044392,6.171181886057504,6.39535879375511,5.189027101849088,6.612071657597277,7.227203790521583,21.136525336284368,11.712738262936737
Split3,8.22982055981795,4.90942436382926,10.777749676716184,7.274220147176388,6.120439599237141,6.964627225042161,7.5611220935407575,6.623191845902773,4.545926011201393,6.305308377647186,23.038440652749305,7.649729447139406
Split4,7.294704491304047,4.614365247094932,7.4976424148555845,8.447283109820148,11.270707613994729,12.556537037089683,5.188772734416842,5.965027596396812,8.76404600040653,5.095793729831054,18.02736965481818,5.27775036997151
Split5,8.833292885286324,6.4267970601125075,6.845556858737678,7.190948491551258,7.351501520323366,11.922343868181418,4.499552012002554,4.663180492396136,8.20746403367885,6.2933882418062925,15.550913003432651,12.215061532490871
