,NoSpeciesLN,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,-0.13297446074188143,-0.709086766960972,0.09999051265532471,0.6478190639766441,-0.817858814092362,0.07205594202934747,-0.6908923647864649,0.28116161990724836,0.23773523686872966,0.6079897285150344,0.07607444943892586,-0.09139808213824294
Split2,-0.16653447655594908,-0.42609999913083074,-0.05848155170901108,0.44016239268382484,-0.5561895942020363,0.18841243755433632,-0.3871547698510048,0.16271653213171003,0.20725412440470065,0.5376318529384331,0.03785961349468071,-0.16205712744422326
Split3,-0.21485867343237522,-0.5458039642767544,0.11979333223701105,0.35856094398921073,-0.6299740399141743,0.6219976121404277,-0.5024024622046979,0.13205492072623937,0.24842563663481385,0.42266656976146605,0.0677469172444207,-0.1464307105939208
Split4,-0.1689788386012061,-0.06810787514037926,-0.18357180878718318,0.5618129006226229,-1.0345171274302905,0.1157810301633912,-0.7488486271852216,0.39663226270354773,0.6070387263547327,0.42017947861884364,0.039959626655478,-0.11050348211900901
Split5,-0.23519767060752986,-0.7111304818524162,0.03963686204630787,0.3567076201002946,-0.6309642915237869,0.1792310230266298,-0.5708839892162879,0.1827786569169176,0.3484670267625665,0.6090566365240083,0.16971701898373104,-0.04435362013125239
