,NoSpeciesLN,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,10.559657892536382,4.6398870820516125,8.803030219000595,10.175447326629843,5.241498892644392,11.745630466831889,5.246671676790677,5.071409807410169,3.5184852706761625,3.198526465280782,21.759263850449408,10.040491049698094
Split2,9.596476185738577,5.637691813171313,9.167942961138092,8.77034808930088,6.095991968597056,10.145743635497244,3.264431558041487,4.067025798560354,2.76596724060296,4.121413297872898,27.33800263267987,9.028964818799263
Split3,10.863860472991794,4.205971480900474,8.919349078545583,7.8517440893315,4.870630533286036,9.718197000645617,5.289418220970113,4.35270630129057,3.0121532825488946,2.9322068721752856,29.551249319225825,8.432513348088321
Split4,12.41861020195721,3.7459740261925334,8.67276347817216,8.170231812320115,5.199832221872506,10.82110315549113,4.719964132151704,3.2327844873298615,3.1707453393622216,4.639681195326874,26.79102208002125,8.41728786980244
Split5,12.348413964118594,5.488910499283916,8.164794657708612,7.743438052153982,5.6185653226257095,9.352227855441232,4.941213501012906,3.5360895293711496,3.1623754952527983,2.872724893391966,24.687092566482534,12.084153663156597
