,NoSpeciesLN,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,20.336690174142287,6.62636858097676,9.803303907577519,7.233994463413501,5.801095604093636,9.300311368376416,5.183561293905757,7.91175897925957,2.8344861855068313,3.430454290091181,11.603279763470336,9.93469538918621
Split2,23.0290918929834,6.812441790937268,6.879438456272921,5.900121286040027,6.309758978369204,9.020818065218055,4.394346709486646,8.451943757215062,3.324324933549807,4.34407346233077,11.491218232126888,10.042422435469954
Split3,19.996617962253907,7.57392373131706,10.721931169561238,6.510181592626664,5.7766277422631696,9.776917358368499,5.251860240263398,7.101971257642541,3.4005767153012316,3.5276756602367336,11.083529032407807,9.278187537757772
Split4,20.953530265033184,8.047431382554796,8.698902441866226,6.300147265134832,5.23168114172977,9.648962090997035,4.7734936930357605,6.47321368243106,3.063311876491838,3.657721667882643,12.836230402142482,10.315374090700383
Split5,20.362860448615923,7.234247945038281,9.608339047383556,6.881670907881723,6.441637127624837,8.918799758071406,5.714928567007226,6.976200849229717,2.925480027204119,3.289076314135534,10.208831705737179,11.4379273020705
