,NoSpeciesLN,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,26.941540477266773,3.653725535106109,6.481252786427477,8.81512320546489,5.798518963387493,7.607915497348341,4.275362737969727,3.606744834213575,7.100158497323937,2.7303165752633287,16.920092868047508,6.06924802218085
Split2,26.0166658110103,3.9278449091736305,5.6569524071374655,8.993063568476805,5.5090141991788535,7.111872440965095,5.220703800935009,3.900584045671398,7.929541545345659,3.051793389823111,16.475605954047477,6.206357928235189
Split3,25.00338004698015,3.965448545106367,6.867136853148817,9.379726017461728,5.683935137959785,9.678666367058122,5.142349003326085,3.9310350405477155,6.43734701745589,2.8294131636683293,15.739521782964477,5.3420410243225405
Split4,23.62976356735384,3.0768415892822443,6.923913806917977,10.26701806957705,5.270997162177786,9.109456908871705,4.128311828706683,4.495303523154974,8.087565304108585,3.3641408160753743,16.05048379884442,5.596203624929367
Split5,21.994978781944027,3.422424987070613,7.1700023220113165,9.694425461441584,5.930674354036799,8.889482475857541,4.599228598532311,4.090406183588861,7.416875658819885,3.2095597660930495,17.394081228315486,6.187860182288524
